Course ID,Course Name,,,,,,,Ratings,Users Reviewed,Hours,Lectures,Tags
89,Start Building Web Apps And Services With Node.js + Express,,,,,,,3.8,24,1,16,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
90,Learn to Build a Shopping Cart using NodeJS,,,,,,,4.2,23,2,11,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
91,Complete Node.js course: Beginner to Advanced,,,,,,,2,22,1,5,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
92,Learn How To Deploy Node.Js App on Google Compute Engine,,,,,,,3.1,22,1,13,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
93,#1 Complete NodeJs Express Single-Page App [The FUTURE],,,,,,,4.6,21,3,30,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
94,Hosting Node.JS apps using Amazon Lightsail - Complete Guide,,,,,,,4.5,21,2,37,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
95,Fullstack Node.js and Express Bootcamp with Real Projects,,,,,,,4.3,20,21,144,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
96,Complete Python Bootcamp: Go from zero to hero in Python 3,,,,,,,4.5,255181,24,185,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
97,Machine Learning A-Z™: Hands-On Python & R In Data Science,,,,,,,4.5,113194,41,295,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
98,Python for Data Science and Machine Learning Bootcamp,,,,,,,4.6,69281,25,164,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
99,Automate the Boring Stuff with Python Programming,,,,,,,4.6,48291,9.5,51,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
100,Learn Python Programming Masterclass,,,,,,,4.5,38893,50,319,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
101,The Python Mega Course: Build 10 Real World Applications,,,,,,,4.5,34754,24,264,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
102,Python and Django Full Stack Web Developer Bootcamp,,,,,,,4.5,27005,32,198,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
103,The Python Bible™ | Everything You Need to Program in Python,,,,,,,4.6,24254,9,74,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
104,The Modern Python 3 Bootcamp,,,,,,,4.6,16182,30.5,374,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
105,Python for Absolute Beginners,,,,,,,4.3,14808,3,67,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
106,The Complete Python 3 Course: Beginner to Advanced!,,,,,,,4.2,13752,18,147,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
107,Learning Python for Data Analysis and Visualization,,,,,,,4.3,13255,21,110,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
108,Python A-Z™: Python For Data Science With Real Exercises!,,,,,,,4.6,12652,11,73,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
109,Python for Finance: Investment Fundamentals & Data Analytics,,,,,,,4.5,12178,8.5,111,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
110,Python for Financial Analysis and Algorithmic Trading,,,,,,,4.5,10472,17,120,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
111,Spark and Python for Big Data with PySpark,,,,,,,4.5,9982,10.5,66,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
112,Programming with Python : HandsOn Introduction for Beginners,,,,,,,4.4,9199,3.5,35,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
113,Complete Python Developer in 2020: Zero to Mastery,,,,,,,4.6,8971,30.5,322,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
114,REST APIs with Flask and Python,,,,,,,4.6,8872,17.5,170,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
115,Data Analysis with Pandas and Python,,,,,,,4.6,8488,19.5,176,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
116,Python for Beginners with Examples,,,,,,,4.3,8459,4.5,83,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
117,Taming Big Data with Apache Spark and Python - Hands On!,,,,,,,4.5,7822,5.5,51,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
118,Learn Python & Ethical Hacking From Scratch,,,,,,,4.6,7711,23.5,176,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
119,Data Science: Natural Language Processing (NLP) in Python,,,,,,,4.5,7719,9.5,76,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
120,"Python for Data Structures',' Algorithms',' and Interviews!",,,,,,,4.4,6837,17,228,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
121,30 Days of Python | Unlock your Python Potential,,,,,,,4.4,6734,9.5,45,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
122,The Complete Python Course | Learn Python by Doing,,,,,,,4.6,6617,35.5,342,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
123,Artificial Intelligence: Reinforcement Learning in Python,,,,,,,4.5,6575,11,102,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
124,Python for Beginners: Learn Python Programming (Python 3),,,,,,,4.4,6067,3,78,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
125,Data Science: Deep Learning in Python,,,,,,,4.6,6056,10.5,86,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
126,Learn to Code in Python 3: Programming beginner to advanced,,,,,,,4.5,5209,5,41,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
127,Natural Language Processing with Deep Learning in Python,,,,,,,4.6,4890,13,102,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
128,The Complete Python 3 Course: Go from Beginner to Advanced!,,,,,,,4.1,4749,8,73,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
129,The Complete Python Masterclass: Learn Python From Scratch,,,,,,,4.4,4562,29,312,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
130,The Complete Python & PostgreSQL Developer Course,,,,,,,4.5,4012,22,185,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
131,Deep Learning Prerequisites: Linear Regression in Python,,,,,,,4.6,4005,6,51,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
132,Complete Python Web Course: Build 8 Python Web Apps,,,,,,,4.4,3701,15.5,161,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
133,Teach Your Kids to Code: Learn Python Programming at Any Age,,,,,,,4.5,3489,7.5,112,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
134,Interactive Python Dashboards with Plotly and Dash,,,,,,,4.6,3487,9.5,69,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
135,"Learn Python',' it's CAKE (Beginners)",,,,,,,4.1,3406,7,42,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
136,Python 3: Deep Dive (Part 1 - Functional),,,,,,,4.7,3240,44.5,158,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
137,Cluster Analysis and Unsupervised Machine Learning in Python,,,,,,,4.5,3215,5,41,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
138,Bayesian Machine Learning in Python: A/B Testing,,,,,,,4.6,3183,6,57,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
139,Python - The Practical Guide,,,,,,,4.6,3100,17.5,230,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
140,Advanced AI: Deep Reinforcement Learning in Python,,,,,,,4.6,2903,9,73,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
141,Deep Learning: Convolutional Neural Networks in Python,,,,,,,4.6,2586,7.5,53,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
142,Python eCommerce | Build a Django eCommerce Web Application,,,,,,,4.3,2463,33,223,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
143,Deep Learning: Recurrent Neural Networks in Python,,,,,,,4.5,2387,7.5,53,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
144,Deep Learning with Python and Keras,,,,,,,4.4,2384,10,148,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
145,Learn Python: Python for Beginners,,,,,,,4.1,2376,1.5,27,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
146,"Python Programming Bible | Networking',' GUI',' Email',' XML',' CGI",,,,,,,4,2306,6,97,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
147,Python Beyond the Basics - Object-Oriented Programming,,,,,,,4.4,2282,5,55,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
148,Automated Software Testing with Python,,,,,,,4.6,2266,13.5,141,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
149,Unsupervised Machine Learning Hidden Markov Models in Python,,,,,,,4.6,2218,9,62,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
150,Complete Python 3 Masterclass Journey,,,,,,,4.6,2104,10.5,108,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
151,Build a Backend REST API with Python & Django - Beginner,,,,,,,4.5,2086,5,76,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
152,Python Programming for Beginners - Learn in 100 Easy Steps,,,,,,,4.4,2018,11,139,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
153,The Complete Machine Learning Course with Python,,,,,,,4.2,1982,17.5,111,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
154,Build a Backend REST API with Python & Django - Advanced,,,,,,,4.5,1858,8,77,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
155,The Ultimate Python Programming Tutorial,,,,,,,4.2,1832,6,94,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
156,Python Network Programming for Network Engineers (Python 3),,,,,,,4.5,1772,11,164,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
157,Learn Python - Python Programming For Beginners From Scratch,,,,,,,4.1,1764,1,22,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
158,"Python for Network Engineers: Netmiko',' NAPALM',' pyntc',' Telnet",,,,,,,4.5,1712,12,170,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
159,100 Python Exercises: Evaluate and Improve Your Skills,,,,,,,4.3,1568,3,207,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
160,Data Science: Supervised Machine Learning in Python,,,,,,,4.6,1542,6,52,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
161,Become a Professional Python Programmer,,,,,,,4.3,1531,39.5,340,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
162,Learn Python: The Complete Python Programming Course,,,,,,,4.4,1502,14.5,146,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
163,Python Bootcamp 2020 Build 15 working Applications and Games,,,,,,,4.3,1496,32,378,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
164,Python Programming MADE EASY : A Concise Python Course,,,,,,,4.9,1391,2,20,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
165,Learn to Code with Python 3!,,,,,,,4,1311,17.5,78,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
166,Unsupervised Deep Learning in Python,,,,,,,4.7,1288,10.5,85,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
167,Python 3 Complete Masterclass - Make Your Job Tasks Easier!,,,,,,,4.5,1269,20.5,310,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
168,The Complete Python Programmer Bootcamp 2020,,,,,,,4.6,1258,11,150,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
169,Data Processing with Python,,,,,,,4.2,1248,4,50,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
170,Complete Data Science Training with Python for Data Analysis,,,,,,,4.3,1242,13,123,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
171,Complete Python programming from Basics to Advance level,,,,,,,4,1228,5,54,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
172,Python 3 For Beginners in 2020!,,,,,,,4.4,1201,6,80,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
173,Python for Beginners : Concise and Practical,,,,,,,3.8,1191,5.5,30,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
174,Python 3 For Offensive PenTest: A Complete Practical Course,,,,,,,4.4,1179,5,58,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
175,Django & Python: complete BUNDLE + Django real project 2020,,,,,,,4.4,1153,56,359,"['Machine Learning','Data Science','Java','JavaScript','SQL','Web Development','CSS','Android Development','Ethical Hacking','HTML','WordPress','PHP','Data Analysis','C++','React','HTML5','
Data Visualization','Linux']"
176,The Complete JavaScript Course 2020: Build Real Projects!,,,,,,,4.6,68261,28,166,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
177,JavaScript: Understanding the Weird Parts,,,,,,,4.7,36580,11.5,85,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
178,Modern JavaScript From The Beginning,,,,,,,4.7,16886,21.5,122,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
179,ES6 Javascript: The Complete Developer's Guide,,,,,,,4.5,8342,6,68,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
180,The Modern JavaScript Bootcamp,,,,,,,4.7,8047,29.5,155,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
181,JavaScript - The Complete Guide 2020 (Beginner + Advanced),,,,,,,4.7,4892,52.5,614,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
182,Advanced Javascript,,,,,,,4.6,4617,6.5,47,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
183,Advanced JavaScript Concepts,,,,,,,4.7,4598,25,217,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
184,JavaScript Beginner Bootcamp (2020),,,,,,,4.6,4482,38.5,383,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
185,Accelerated JavaScript Training,,,,,,,4.7,4087,7.5,128,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
186,JavaScript Basics for Beginners,,,,,,,4.5,4048,6.5,105,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
187,Accelerated ES6 JavaScript Training,,,,,,,4.6,3979,6,115,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
188,Essentials in JavaScript ES6 - A Fun and Clear Introduction,,,,,,,4.1,3941,2,43,"['CSS',
'HTML5',
'Web Development',
'Bootstrap',
'React','
HTML','
jQuery','
Angular','
Front End Web Development','
PHP','
Java','
Node.Js','
Game Development Fundamentals','
C#','
Web Design','
WordPress','
MySQL','
Android Development']"
